TRANS_DATE,SALES_VALUE,day_of_year,year
2012-01-02,549.3100000000001,2,2012
2012-01-03,458.91,3,2012
2012-01-04,1560.3700000000001,4,2012
2012-01-05,1785.64,5,2012
2012-01-06,856.9300000000001,6,2012
2012-01-07,1008.15,7,2012
2012-01-08,1271.29,8,2012
2012-01-09,1203.85,9,2012
2012-01-10,1050.95,10,2012
2012-01-11,1714.3799999999999,11,2012
2012-01-12,2266.01,12,2012
2012-01-13,2306.7200000000003,13,2012
2012-01-14,1863.57,14,2012
2012-01-15,1835.94,15,2012
2012-01-16,1371.23,16,2012
2012-01-17,1378.48,17,2012
2012-01-18,2203.17,18,2012
2012-01-19,2104.61,19,2012
2012-01-20,2741.2,20,2012
2012-01-21,1811.38,21,2012
2012-01-22,2396.83,22,2012
2012-01-23,1580.03,23,2012
2012-01-24,1728.8,24,2012
2012-01-25,2207.51,25,2012
2012-01-26,3584.79,26,2012
2012-01-27,2656.65,27,2012
2012-01-28,2192.57,28,2012
2012-01-29,1731.83,29,2012
2012-01-30,3020.03,30,2012
2012-01-31,3066.35,31,2012
2012-02-01,2673.41,32,2012
2012-02-02,3214.75,33,2012
2012-02-03,4240.88,34,2012
2012-02-04,3252.05,35,2012
2012-02-05,3125.05,36,2012
2012-02-06,3889.28,37,2012
2012-02-07,2151.7,38,2012
2012-02-08,2892.16,39,2012
2012-02-09,4812.45,40,2012
2012-02-10,4801.21,41,2012
2012-02-11,3821.04,42,2012
2012-02-12,3285.29,43,2012
2012-02-13,3347.23,44,2012
2012-02-14,3439.8,45,2012
2012-02-15,3647.87,46,2012
2012-02-16,4682.99,47,2012
2012-02-17,5849.75,48,2012
2012-02-18,3934.7000000000003,49,2012
2012-02-19,3768.58,50,2012
2012-02-20,3724.31,51,2012
2012-02-21,4655.53,52,2012
2012-02-22,4984.55,53,2012
2012-02-23,5323.41,54,2012
2012-02-24,5402.6900000000005,55,2012
2012-02-25,3644.37,56,2012
2012-02-26,3446.83,57,2012
2012-02-27,3856.14,58,2012
2012-02-28,4558.76,59,2012
2012-02-29,4429.13,60,2012
2012-03-01,6140.7300000000005,61,2012
2012-03-02,5168.21,62,2012
2012-03-03,5205.03,63,2012
2012-03-04,4732.76,64,2012
2012-03-05,4031.51,65,2012
2012-03-06,6264.4800000000005,66,2012
2012-03-07,6651.03,67,2012
2012-03-08,8409.25,68,2012
2012-03-09,7700.32,69,2012
2012-03-10,7974.07,70,2012
2012-03-11,5180.57,71,2012
2012-03-12,6596.45,72,2012
2012-03-13,6274.39,73,2012
2012-03-14,6713.22,74,2012
2012-03-15,8755.18,75,2012
2012-03-16,9517.42,76,2012
2012-03-17,7223.1,77,2012
2012-03-18,6713.56,78,2012
2012-03-19,6767.04,79,2012
2012-03-20,6639.56,80,2012
2012-03-21,7204.01,81,2012
2012-03-22,8616.82,82,2012
2012-03-23,10023.210000000001,83,2012
2012-03-24,6839.05,84,2012
2012-03-25,7081.04,85,2012
2012-03-26,7179.75,86,2012
2012-03-27,7042.68,87,2012
2012-03-28,9261.92,88,2012
2012-03-29,8565.33,89,2012
2012-03-30,9233.24,90,2012
2012-03-31,7314.57,91,2012
2012-04-01,8588.09,92,2012
2012-04-02,7715.6900000000005,93,2012
2012-04-03,8153.7300000000005,94,2012
2012-04-04,8293.09,95,2012
2012-04-05,11283.67,96,2012
2012-04-06,11526.36,97,2012
2012-04-07,8674.07,98,2012
2012-04-08,7200.62,99,2012
2012-04-09,9936.2,100,2012
2012-04-10,8961.47,101,2012
2012-04-11,11841.79,102,2012
2012-04-12,13081.59,103,2012
2012-04-13,14565.550000000001,104,2012
2012-04-14,11101.36,105,2012
2012-04-15,11532.630000000001,106,2012
2012-04-16,10231.61,107,2012
2012-04-17,10261.81,108,2012
2012-04-18,9831.54,109,2012
2012-04-19,12001.2,110,2012
2012-04-20,14174.86,111,2012
2012-04-21,9911.75,112,2012
2012-04-22,8888.67,113,2012
2012-04-23,11677.19,114,2012
2012-04-24,12013.45,115,2012
2012-04-25,10823.09,116,2012
2012-04-26,12145.52,117,2012
2012-04-27,14096.68,118,2012
2012-04-28,10278.07,119,2012
2012-04-29,9439.26,120,2012
2012-04-30,9677.25,121,2012
2012-05-01,9112.85,122,2012
2012-05-02,11073.88,123,2012
2012-05-03,11828.34,124,2012
2012-05-04,14558.53,125,2012
2012-05-05,10493.2,126,2012
2012-05-06,8154.52,127,2012
2012-05-07,8879.48,128,2012
2012-05-08,9900.76,129,2012
2012-05-09,9131.54,130,2012
2012-05-10,12707.84,131,2012
2012-05-11,13269.54,132,2012
2012-05-12,11961.960000000001,133,2012
2012-05-13,11226.29,134,2012
2012-05-14,11093.35,135,2012
2012-05-15,12372.44,136,2012
2012-05-16,10827.39,137,2012
2012-05-17,13522.130000000001,138,2012
2012-05-18,15105.34,139,2012
2012-05-19,12050.39,140,2012
2012-05-20,11044.25,141,2012
2012-05-21,11382.47,142,2012
2012-05-22,10657.39,143,2012
2012-05-23,11333.54,144,2012
2012-05-24,12569.24,145,2012
2012-05-25,14225.05,146,2012
2012-05-26,11834.52,147,2012
2012-05-27,10762.1,148,2012
2012-05-28,9481.43,149,2012
2012-05-29,9117.06,150,2012
2012-05-30,12162.51,151,2012
2012-05-31,11972.37,152,2012
2012-06-01,13803.83,153,2012
2012-06-02,8743.74,154,2012
2012-06-03,10327.56,155,2012
2012-06-04,8147.01,156,2012
2012-06-05,9295.05,157,2012
2012-06-06,12410.02,158,2012
2012-06-07,12520.11,159,2012
2012-06-08,14625.86,160,2012
2012-06-09,11992.710000000001,161,2012
2012-06-10,8707.87,162,2012
2012-06-11,10957.12,163,2012
2012-06-12,12325.07,164,2012
2012-06-13,13447.15,165,2012
2012-06-14,16651.4,166,2012
2012-06-15,14624.78,167,2012
2012-06-16,13569.66,168,2012
2012-06-17,12201.25,169,2012
2012-06-18,12390.42,170,2012
2012-06-19,10706.98,171,2012
2012-06-20,11209.78,172,2012
2012-06-21,12893.34,173,2012
2012-06-22,15955.39,174,2012
2012-06-23,9873.31,175,2012
2012-06-24,9227.65,176,2012
2012-06-25,9842.22,177,2012
2012-06-26,10238.79,178,2012
2012-06-27,12114.88,179,2012
2012-06-28,12182.25,180,2012
2012-06-29,15729.82,181,2012
2012-06-30,9940.87,182,2012
2012-07-01,9487.13,183,2012
2012-07-02,10271.82,184,2012
2012-07-03,10057.72,185,2012
2012-07-04,11776.48,186,2012
2012-07-05,13807.04,187,2012
2012-07-06,14568.02,188,2012
2012-07-07,9260.36,189,2012
2012-07-08,9288.85,190,2012
2012-07-09,8597.24,191,2012
2012-07-10,10694.43,192,2012
2012-07-11,11103.49,193,2012
2012-07-12,14772.52,194,2012
2012-07-13,14839.31,195,2012
2012-07-14,12254.48,196,2012
2012-07-15,13221.9,197,2012
2012-07-16,11247.18,198,2012
2012-07-17,11441.75,199,2012
2012-07-18,11180.37,200,2012
2012-07-19,13821.4,201,2012
2012-07-20,15859.9,202,2012
2012-07-21,11212.03,203,2012
2012-07-22,10249.53,204,2012
2012-07-23,8674.29,205,2012
2012-07-24,10906.89,206,2012
2012-07-25,9338.97,207,2012
2012-07-26,13350.9,208,2012
2012-07-27,16399.25,209,2012
2012-07-28,10110.81,210,2012
2012-07-29,9331.41,211,2012
2012-07-30,11099.3,212,2012
2012-07-31,10457.1,213,2012
2012-08-01,10297.84,214,2012
2012-08-02,13968.43,215,2012
2012-08-03,12378.99,216,2012
2012-08-04,9866.84,217,2012
2012-08-05,8622.7,218,2012
2012-08-06,9133.23,219,2012
2012-08-07,9933.73,220,2012
2012-08-08,9512.99,221,2012
2012-08-09,13266.01,222,2012
2012-08-10,16388.45,223,2012
2012-08-11,12241.19,224,2012
2012-08-12,10862.19,225,2012
2012-08-13,11081.56,226,2012
2012-08-14,9981.58,227,2012
2012-08-15,12623.61,228,2012
2012-08-16,13473.380000000001,229,2012
2012-08-17,15538.78,230,2012
2012-08-18,11859.01,231,2012
2012-08-19,10015.12,232,2012
2012-08-20,11355.85,233,2012
2012-08-21,9691.86,234,2012
2012-08-22,10980.16,235,2012
2012-08-23,12503.9,236,2012
2012-08-24,15270.23,237,2012
2012-08-25,9890.12,238,2012
2012-08-26,10031.0,239,2012
2012-08-27,9463.63,240,2012
2012-08-28,9401.51,241,2012
2012-08-29,12635.130000000001,242,2012
2012-08-30,16258.05,243,2012
2012-08-31,15304.39,244,2012
2012-09-01,14060.12,245,2012
2012-09-02,15192.56,246,2012
2012-09-03,20901.13,247,2012
2012-09-04,5905.22,248,2012
2012-09-05,7785.53,249,2012
2012-09-06,9930.1,250,2012
2012-09-07,10309.23,251,2012
2012-09-08,11105.16,252,2012
2012-09-09,10255.28,253,2012
2012-09-10,9272.63,254,2012
2012-09-11,11890.18,255,2012
2012-09-12,11986.38,256,2012
2012-09-13,17448.37,257,2012
2012-09-14,15366.25,258,2012
2012-09-15,15634.65,259,2012
2012-09-16,11129.41,260,2012
2012-09-17,13312.26,261,2012
2012-09-18,14476.93,262,2012
2012-09-19,10084.09,263,2012
2012-09-20,13804.83,264,2012
2012-09-21,12464.04,265,2012
2012-09-22,9854.32,266,2012
2012-09-23,12947.84,267,2012
2012-09-24,11415.31,268,2012
2012-09-25,9446.0,269,2012
2012-09-26,10635.83,270,2012
2012-09-27,12793.97,271,2012
2012-09-28,15334.18,272,2012
2012-09-29,12875.460000000001,273,2012
2012-09-30,12533.53,274,2012
2012-10-01,12378.7,275,2012
2012-10-02,14520.57,276,2012
2012-10-03,23018.88,277,2012
2012-10-04,14635.130000000001,278,2012
2012-10-05,22.490000000000002,279,2012
2012-10-06,10859.11,280,2012
2012-10-07,11583.51,281,2012
2012-10-08,8657.83,282,2012
2012-10-09,10385.01,283,2012
2012-10-10,12995.44,284,2012
2012-10-11,18680.19,285,2012
2012-10-12,10477.5,286,2012
2012-10-13,12774.84,287,2012
2012-10-14,13310.8,288,2012
2012-10-15,12194.08,289,2012
2012-10-16,12272.98,290,2012
2012-10-17,12313.01,291,2012
2012-10-18,14565.53,292,2012
2012-10-19,15939.050000000001,293,2012
2012-10-20,12709.37,294,2012
2012-10-21,8885.3,295,2012
2012-10-22,11019.49,296,2012
2012-10-23,11558.76,297,2012
2012-10-24,10560.52,298,2012
2012-10-25,15764.87,299,2012
2012-10-26,13455.56,300,2012
2012-10-27,13376.2,301,2012
2012-10-28,9516.8,302,2012
2012-10-29,8807.68,303,2012
2012-10-30,9311.91,304,2012
2012-10-31,11145.95,305,2012
2012-11-01,14775.5,306,2012
2012-11-02,16159.78,307,2012
2012-11-03,12478.52,308,2012
2012-11-04,9598.97,309,2012
2012-11-05,9918.1,310,2012
2012-11-06,9581.3,311,2012
2012-11-07,9264.53,312,2012
2012-11-08,13515.05,313,2012
2012-11-09,15325.86,314,2012
2012-11-10,11921.73,315,2012
2012-11-11,10800.69,316,2012
2012-11-12,10999.15,317,2012
2012-11-13,12485.710000000001,318,2012
2012-11-14,13792.210000000001,319,2012
2012-11-15,18881.38,320,2012
2012-11-16,16997.21,321,2012
2012-11-17,12840.64,322,2012
2012-11-18,10477.29,323,2012
2012-11-19,10192.26,324,2012
2012-11-20,10646.35,325,2012
2012-11-21,14526.42,326,2012
2012-11-22,14139.02,327,2012
2012-11-23,17013.48,328,2012
2012-11-24,13172.51,329,2012
2012-11-25,10001.76,330,2012
2012-11-26,10328.48,331,2012
2012-11-27,10141.19,332,2012
2012-11-28,10639.56,333,2012
2012-11-29,12828.87,334,2012
2012-11-30,13187.91,335,2012
2012-12-01,11399.28,336,2012
2012-12-02,11030.12,337,2012
2012-12-03,10847.86,338,2012
2012-12-04,9123.08,339,2012
2012-12-05,12477.97,340,2012
2012-12-06,15137.75,341,2012
2012-12-07,15789.44,342,2012
2012-12-08,10689.63,343,2012
2012-12-09,10268.55,344,2012
2012-12-10,12184.64,345,2012
2012-12-11,13404.130000000001,346,2012
2012-12-12,11507.06,347,2012
2012-12-13,16148.62,348,2012
2012-12-14,16017.05,349,2012
2012-12-15,11930.83,350,2012
2012-12-16,9281.16,351,2012
2012-12-17,11031.45,352,2012
2012-12-18,9989.42,353,2012
2012-12-19,12189.89,354,2012
2012-12-20,14084.89,355,2012
2012-12-21,17021.89,356,2012
2012-12-22,10539.12,357,2012
2012-12-23,10015.94,358,2012
2012-12-24,11020.24,359,2012
2012-12-25,10447.82,360,2012
2012-12-26,13120.29,361,2012
2012-12-27,14287.4,362,2012
2012-12-28,15455.68,363,2012
2012-12-29,14814.22,364,2012
2012-12-30,8555.63,365,2012
2012-12-31,9340.74,366,2012
2013-01-01,9206.23,1,2013
2013-01-02,12410.42,2,2013
2013-01-03,13797.36,3,2013
2013-01-04,15115.15,4,2013
2013-01-05,13435.84,5,2013
2013-01-06,10823.79,6,2013
2013-01-07,11289.65,7,2013
2013-01-08,9805.74,8,2013
2013-01-09,11725.55,9,2013
2013-01-10,14351.42,10,2013
2013-01-11,16482.9,11,2013
2013-01-12,13843.14,12,2013
2013-01-13,12729.35,13,2013
2013-01-14,9969.28,14,2013
2013-01-15,9420.08,15,2013
2013-01-16,11032.43,16,2013
2013-01-17,14217.97,17,2013
2013-01-18,15850.23,18,2013
2013-01-19,12577.04,19,2013
2013-01-20,8515.04,20,2013
2013-01-21,10540.91,21,2013
