AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key,INCOME_DESC_REDUCED,MEAN_AGE,MEAN_INCOME
65+,A,35-49K,Homeowner,2 Adults No Kids,2,0,1,25-49K,65.0,42.0
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,7,50-99K,49.5,62.0
25-34,A,25-34K,Homeowner,2 Adults Kids,3,1,8,25-49K,29.5,29.5
25-34,A,75-99K,Homeowner,2 Adults Kids,4,2,13,50-99K,29.5,87.0
45-54,B,50-74K,Homeowner,1 Adult No Kids,1,0,16,50-99K,49.5,62.0
65+,B,Under 15K,Homeowner,2 Adults No Kids,2,0,17,<25K,65.0,15.0
45-54,A,100-124K,Homeowner,2 Adults No Kids,2,0,18,100-149K,49.5,112.0
35-44,B,15-24K,Homeowner,1 Adult No Kids,1,0,19,<25K,39.5,19.5
25-34,A,75-99K,Renter,2 Adults No Kids,2,0,20,50-99K,29.5,87.0
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,0,22,50-99K,49.5,87.0
35-44,B,50-74K,Homeowner,1 Adult No Kids,1,0,25,50-99K,39.5,62.0
45-54,A,25-34K,Renter,1 Adult No Kids,1,0,27,25-49K,49.5,29.5
35-44,B,35-49K,Homeowner,2 Adults No Kids,2,0,31,25-49K,39.5,42.0
35-44,A,125-149K,Homeowner,2 Adults No Kids,2,0,39,100-149K,39.5,137.0
45-54,A,Under 15K,Homeowner,2 Adults No Kids,2,0,40,<25K,49.5,15.0
65+,A,50-74K,Homeowner,1 Adult No Kids,1,0,42,50-99K,65.0,62.0
35-44,B,15-24K,Homeowner,2 Adults Kids,5,3,43,<25K,39.5,19.5
45-54,A,150-174K,Homeowner,2 Adults Kids,5,3,46,150K+,49.5,162.0
19-24,A,35-49K,Homeowner,2 Adults No Kids,2,0,48,25-49K,21.5,42.0
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,0,49,25-49K,39.5,42.0
45-54,B,50-74K,Homeowner,2 Adults No Kids,2,0,52,50-99K,49.5,62.0
65+,A,35-49K,Homeowner,2 Adults No Kids,2,0,55,25-49K,65.0,42.0
55-64,A,100-124K,Homeowner,2 Adults Kids,4,2,56,100-149K,59.5,112.0
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,0,57,25-49K,49.5,42.0
25-34,A,150-174K,Homeowner,2 Adults Kids,4,2,58,150K+,29.5,162.0
45-54,A,Under 15K,Homeowner,2 Adults Kids,5,3,67,<25K,49.5,15.0
35-44,A,25-34K,Homeowner,1 Adult No Kids,2,0,71,25-49K,39.5,29.5
65+,A,15-24K,Homeowner,2 Adults No Kids,2,0,74,<25K,65.0,19.5
35-44,A,100-124K,Homeowner,2 Adults Kids,5,3,77,100-149K,39.5,112.0
55-64,A,25-34K,Homeowner,1 Adult No Kids,1,0,78,25-49K,59.5,29.5
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,0,80,50-99K,49.5,62.0
25-34,A,35-49K,Homeowner,1 Adult No Kids,1,0,85,25-49K,29.5,42.0
65+,B,35-49K,Homeowner,1 Adult No Kids,1,0,86,25-49K,65.0,42.0
45-54,A,75-99K,Homeowner,1 Adult No Kids,1,0,97,50-99K,49.5,87.0
35-44,B,35-49K,Homeowner,1 Adult Kids,2,1,98,25-49K,39.5,42.0
45-54,A,Under 15K,Homeowner,2 Adults Kids,4,2,101,<25K,49.5,15.0
35-44,A,35-49K,Homeowner,2 Adults Kids,5,3,104,25-49K,39.5,42.0
25-34,B,Under 15K,Homeowner,1 Adult Kids,3,2,105,<25K,29.5,15.0
25-34,A,15-24K,Homeowner,1 Adult No Kids,2,0,109,<25K,29.5,19.5
25-34,A,35-49K,Homeowner,1 Adult No Kids,1,0,110,25-49K,29.5,42.0
35-44,A,125-149K,Homeowner,2 Adults Kids,4,2,113,100-149K,39.5,137.0
25-34,A,35-49K,Homeowner,2 Adults No Kids,2,0,114,25-49K,29.5,42.0
65+,B,35-49K,Homeowner,2 Adults No Kids,2,0,117,25-49K,65.0,42.0
45-54,B,35-49K,Homeowner,1 Adult No Kids,1,0,118,25-49K,49.5,42.0
